date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-12-17,85.68,86.84,86.13,85.25,758245.62,0.49,0.57,85.324,84.734,84.901,609410.29,467972.16,483812.09,0.7
2019-12-18,86.09,86.45,85.98,85.81,453752.72,-0.15,-0.17,85.712,84.925,84.797,626574.19,487144.99,489885.18,0.42
2019-12-19,86.12,86.18,85.7,85.28,330822.16,-0.28,-0.33,86.044,85.028,84.765,619445.33,485973.73,468557.2,0.31
2019-12-20,85.77,86.31,85.53,85.5,358309.16,-0.17,-0.2,85.796,85.107,84.797,536160.58,494593.65,449099.47,0.33
2019-12-23,85.95,85.97,84.29,84.25,457181.75,-1.24,-1.45,85.526,85.171,84.737,471662.28,494265.78,444632.2,0.42
2019-12-24,84.23,84.6,84.46,84.05,292204.44,0.17,0.2,85.192,85.258,84.69,378454.05,493932.17,433778.29,0.27
2019-12-25,84.4,84.51,83.93,83.81,316230.38,-0.53,-0.63,84.782,85.247,84.641,350949.58,488761.88,429876.96,0.29
2019-12-26,84.0,84.43,84.43,83.9,286528.09,0.5,0.6,84.528,85.286,84.642,342090.76,480768.05,426298.61,0.26
2019-12-27,84.44,85.66,84.72,84.42,492829.19,0.29,0.34,84.366,85.081,84.697,368994.77,452577.68,422392.87,0.45
2019-12-30,84.76,86.02,85.89,83.92,676187.62,1.17,1.38,84.686,85.106,84.827,412795.94,442229.11,436901.87,0.62
2019-12-31,85.75,85.91,85.46,85.01,432036.34,-0.43,-0.5,84.886,85.039,84.887,440762.32,409608.19,438790.17,0.4
2020-01-02,85.9,86.79,86.12,85.88,778252.06,0.66,0.77,85.324,85.053,84.989,533166.66,442058.12,464601.55,0.72
2020-01-03,86.81,86.88,86.2,85.9,594980.0,0.08,0.09,85.678,85.103,85.066,594857.04,468473.9,477223.82,0.55
2020-01-06,85.92,86.87,85.6,85.5,636448.06,-0.6,-0.7,85.854,85.11,85.109,623580.82,496287.79,495440.72,0.59
2020-01-07,86.01,86.46,86.15,85.67,452188.31,0.55,0.64,85.906,85.296,85.234,578780.95,495788.45,495027.11,0.42
2020-01-08,85.98,85.98,85.0,84.5,628053.12,-1.15,-1.33,85.814,85.35,85.304,617984.31,529373.32,511652.74,0.58
2020-01-09,85.58,85.61,85.04,84.69,598712.0,0.04,0.05,85.598,85.461,85.354,582076.3,557621.48,523191.68,0.55
2020-01-10,85.35,85.39,84.78,84.61,525864.62,-0.26,-0.31,85.314,85.496,85.391,568253.22,581555.13,531161.59,0.49
2020-01-13,85.01,86.47,86.45,84.78,810588.69,1.67,1.97,85.484,85.669,85.375,603081.35,613331.08,532954.38,0.75
2020-01-14,87.2,87.82,86.83,86.68,716681.81,0.38,0.44,85.62,85.763,85.435,655980.05,617380.5,529804.81,0.66
